id,outlet_name,merchant_id,area_id,address,city,province,latitude,longitude,outlet_type,status,onboarding_date
64375d9c-4b5c-56d7-afec-88a80e128c44,Corazon Padala Center,26bf2e04-2900-5c51-a63e-fbcc95d4a9c6,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,"713 EDSA, Brgy. Pinyahan",Parañaque,Metro Manila,14.58458,120.90105,tier1_urban,active,2025-06-13
ebf3f030-639e-5ef4-8c63-5a827b9d67f8,Jose Pawnshop,a908fe70-98bb-5f1e-8e6a-13439d886521,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,"221 EDSA, Brgy. Ugong",Marikina,Metro Manila,14.732068,121.021776,tier2_suburban,active,2026-08-03
66d5a328-8eb1-5975-be4b-a35975328fcb,Mang Antonio's Tindahan,676de22a-98af-5829-bf98-7fa524711054,dd92fc02-23e6-54d1-8ade-4dc72b56055b,"244 España Blvd, Brgy. Poblacion",Lapu-Lapu,Cebu,10.2382,123.883965,tier3_rural,active,2025-11-26
b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,Ramon Express,0dfdd4f4-02e5-5a55-8a9b-891b9a5b9ba3,be3107b0-7566-55ce-95b2-c6139ff216c6,"114 J.P. Laurel Ave, Brgy. Bambang",Davao City,Davao del Sur,7.221632,125.589586,tier3_rural,active,2026-02-17
89af9edf-f3db-5349-bcb3-f9c543399d2f,Antonio Drug Store,ab2655b1-724a-5e5b-8fc3-9d2222c45d3e,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,"299 Colon Street, Brgy. San Antonio",Olongapo,Zambales,15.230367,120.572169,tier2_suburban,active,2024-09-23
21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,Tindahan ni Fernando,441546cc-0f25-5a0b-9229-6143b9ae4678,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,"537 Roxas Blvd, Brgy. Poblacion",Manila,Metro Manila,14.736021,121.008816,tier3_rural,inactive,2026-06-07
d8a14285-5274-5cc4-95ff-7c11b6346a04,Ana Padala Center,69982d29-2f92-54dd-8b42-4b6821813122,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,"400 J.P. Laurel Ave, Brgy. San Antonio",Las Piñas,Metro Manila,14.640701,121.096208,tier2_suburban,churned,2025-08-13
c374b78a-8385-5dbd-ab1e-726563b1014c,Fe's Mini Mart,35625f7c-5f63-5460-8f53-0327ef02828f,dd92fc02-23e6-54d1-8ade-4dc72b56055b,"366 Mabini Street, Brgy. Bagong Silang",Cebu City,Cebu,10.392901,123.931421,tier1_urban,churned,2025-11-23
9cf0258b-b196-5323-8d6c-3eccbf473c3f,Mang Teresa's Tindahan,e64f1b78-7229-5fe9-af27-3afde2f65983,be3107b0-7566-55ce-95b2-c6139ff216c6,"137 Bonifacio Avenue, Brgy. Bagong Silang",Zamboanga City,Zamboanga del Sur,7.227608,125.644053,tier1_urban,churned,2025-08-31
b2ee80b3-73ea-5139-805e-52812d1d5c0b,Ricardo Pharmacy,daebb761-d794-577f-9fe5-825a32f9b87b,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,"476 Purok 1 Street, Brgy. Pinyahan",Calamba,Laguna,15.242215,120.743449,tier1_urban,churned,2024-10-16
b9f302ee-4c36-582b-92c9-ed71368ecdc4,Ramon's Sari-Sari,6b0694da-04d6-558f-b0eb-84888914018d,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,"38 España Blvd, Brgy. San Jose",Parañaque,Metro Manila,14.463142,120.939894,tier1_urban,active,2026-01-18
43053a5a-68ac-562d-8179-906560683723,Ernesto Remittance,c8bde638-0339-5c07-874c-a95b2af691af,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,"528 Osmena Blvd, Brgy. Ugong",Marikina,Metro Manila,14.59202,120.907324,tier1_urban,active,2026-01-14
2845093a-3515-532c-90da-051c95e9baf8,Nelia's Mini Mart,0823e6b2-0533-5be8-a4bb-af369ba421e5,dd92fc02-23e6-54d1-8ade-4dc72b56055b,"883 Bonifacio Avenue, Brgy. Bagong Silang",Lapu-Lapu,Cebu,10.418573,123.959868,tier2_suburban,active,2026-03-06
d59e6887-1c3d-5cb0-b4ad-0752bfdc39fc,Aling Fernando's Store,1ebd2a93-70cd-5e1d-bbb3-34ddc32f27e1,be3107b0-7566-55ce-95b2-c6139ff216c6,"917 Osmena Blvd, Brgy. Bagong Silang",General Santos,South Cotabato,7.484234,125.548861,tier2_suburban,active,2026-01-29
5cb5f68d-dbf0-5c90-9e6c-e13a3464fb8f,Tindahan ni Rosario,712ffd3d-3fff-51cc-a23f-448d39b6b496,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,"274 Mabini Street, Brgy. Kamuning",Dasmariñas,Cavite,14.855249,120.680736,tier1_urban,inactive,2026-01-22
