id,outlet_id,txn_type,amount,currency,txn_date,status
2bd17dfd-b1c7-53aa-9994-823f97704e5e,d05d6123-7a3c-52ac-9c68-fa1fd385e75f,buy_load,50.15,PHP,2025-05-21T01:41:00,completed
fc2ac9ac-5587-58a4-a008-f2f796620d25,341a3bc3-5c02-5d55-a530-3ea9ba9499b5,pay_qr,518.52,PHP,2025-07-08T03:00:00,completed
cb31402d-ebf8-5cf0-abae-2bf9a1d30dde,09bafe42-8b3d-575e-9484-7efccddcc10d,buy_load,31.18,PHP,2025-06-06T08:54:00,failed
9b46003f-f34d-5af9-960c-ca429f441ddc,216c274e-2c70-50d1-bfaf-4b7cfcef9292,cash_out,2019.93,PHP,2025-05-11T12:48:00,completed
8d8285e6-f2e4-5c92-b4cc-0001af00d9fd,b153dfcc-d513-57a0-a210-75c90128d3f4,cash_in,2049.62,PHP,2025-05-25T02:54:00,completed
afc5692c-f54e-5e0a-8755-e540ff901232,22746863-66c2-5148-b1c3-0e496f314a04,buy_load,73.97,PHP,2025-05-06T13:40:00,completed
cd5510fb-2084-5fc0-945b-adee40f45c02,23826633-9aad-5005-85cf-96f377012cf8,cash_in,3734.67,PHP,2025-07-11T07:27:00,reversed
bd4b9d55-38bc-5299-a94e-65c2f2ba7e83,d52c3009-7a12-53ac-9140-2a40df2499ba,pay_qr,119.35,PHP,2025-06-27T10:01:00,completed
89ff08ab-d891-542c-a106-9dd1c1f28f45,404af27b-67ac-5e84-a776-383c2bfffbe1,cash_out,2662.87,PHP,2025-06-16T07:32:00,completed
fa3836f4-e578-5184-ab0b-480082987551,44015697-3e20-5cfe-bf53-1eed5cfb9c5f,pay_qr,499.52,PHP,2025-06-08T17:12:00,failed
d9ffeed2-1f3b-5aff-9871-0566d6c1f0e3,03c210da-6332-53e2-ba4b-a3e540ef0811,cash_out,684.34,PHP,2025-06-03T09:59:00,completed
25b045cd-a02a-5098-ae29-ace1ee298b30,379ada66-b3b0-53ca-8a8a-0b2923ffa523,cash_in,4658.78,PHP,2025-05-08T09:42:00,completed
4bb7a718-a6fd-516f-ada2-8c314517fa98,20b23860-295a-571c-8e23-0ea9420de1d1,cash_out,942.03,PHP,2025-05-21T11:09:00,completed
30387fb2-ee1f-5ef6-af75-23c69dbbc144,f450988d-f69d-5b58-9af3-0c584f675d22,buy_load,62.96,PHP,2025-06-26T14:56:00,completed
c20f53c1-7c02-5026-afc3-6c603c1d752f,280eeed9-60dd-5113-9e55-694840c439c0,send_money,58.49,PHP,2025-06-01T16:11:00,completed
a59971f6-65d6-5b34-9f30-682b40380d59,05474dff-378c-5a0e-a404-511c603326d6,cash_out,2244.2,PHP,2025-06-26T05:57:00,completed
c127777c-ab63-5354-b1fa-b6b8100609e4,10f5f13e-184b-5a69-8637-e0ac9a00d67a,cash_out,747.85,PHP,2025-06-25T14:30:00,completed
01cccfe0-203c-5433-993b-ee41b9a6fbe5,75c9c753-3e28-5b1c-b3c8-0bbe0a29a265,cash_out,1696.09,PHP,2025-06-09T13:05:00,completed
a6ca17ba-bed9-54f8-8b10-71039e01c3a8,c71b76d5-d661-5b5a-8076-27b96aaa95b0,buy_load,53.98,PHP,2025-06-30T07:24:00,completed
a6747b41-f078-5337-9406-f6074130ad49,3fb91aa2-a34c-52ce-af0c-7d60ea25185f,buy_load,62.25,PHP,2025-05-25T08:16:00,completed
9cecf145-8e26-5ee1-91b9-a452237b317b,96bd0205-8de7-5b6e-960c-0ac3e6a47340,send_money,1049.9,PHP,2025-06-15T03:13:00,completed
430e800b-768a-5be8-9931-fcafc082d1b4,3533e91a-6c3d-5181-b675-6598d235e36d,cash_out,988.73,PHP,2025-06-02T10:31:00,completed
41390517-9a69-5a8c-bce4-b02f3baead32,bd497535-7902-5987-af45-39611a302a57,bills_payment,2185.7,PHP,2025-05-15T17:52:00,completed
a178ae41-4229-521e-b242-89c4ad436004,85aa98f4-084b-5288-9dbb-124f2d9ea885,cash_out,1834.14,PHP,2025-06-11T02:09:00,completed
ad0bb04c-3c50-5341-a6ff-ffb58f167668,998f4b20-a2cd-5811-b852-680e154e3370,cash_in,4035.43,PHP,2025-07-29T04:58:00,failed
2093e208-567d-5587-b02f-8eb2aa172940,a98ed541-03fd-5425-8eec-a87c602d2311,buy_load,31.31,PHP,2025-05-30T08:24:00,completed
dd124485-f843-5435-beaa-e935acd67ce5,4d4de468-cb98-567b-b2ce-4ed1afd3bb0c,send_money,1481.58,PHP,2025-05-21T14:26:00,completed
3ac790db-dfda-59c4-ac60-adba95d3ad19,8142324f-d48d-5bdb-8f98-c69443f549f2,cash_in,2801.47,PHP,2025-05-19T03:21:00,completed
0555184a-0669-5437-89ec-aa5258543f55,38a1a40d-329f-57f3-9cd9-b0a08e6a7b64,pay_qr,635.72,PHP,2025-06-26T03:32:00,completed
4c9f0178-9feb-56a1-bb49-424a1724769d,88c4d406-580a-520e-93d1-a9491ae16323,bills_payment,2105.46,PHP,2025-06-19T15:49:00,completed
170e47a8-0af9-5f03-8a26-ba26bd86a93c,d1d234d2-2487-57ef-aee2-33e973811c55,buy_load,10,PHP,2025-06-06T17:35:00,completed
5c61f761-7140-58a5-975c-ab0970ea4c0c,43053a5a-68ac-562d-8179-906560683723,bills_payment,1260.5,PHP,2025-06-12T18:00:00,completed
e17b84a7-4b1b-5dc2-9344-3e42904a377e,4297d3c8-9f0d-59cd-b6be-25fb5ae1f0ef,cash_in,2440.78,PHP,2025-05-06T07:26:00,completed
a52b7d65-77be-5c78-baba-f265de4bb466,91fc7ae7-d612-57c1-a59c-5c92ce8e587d,pay_qr,498.91,PHP,2025-05-19T06:03:00,completed
f803b000-075a-5716-9489-da5acd747f92,8e7a61aa-daf6-5080-a843-f322705c0fce,cash_in,2646.73,PHP,2025-07-08T14:59:00,completed
8c8183ba-a141-5199-b732-3e5436dacb31,8c464c73-a955-576d-9730-79fd5da4e450,pay_qr,208.79,PHP,2025-07-15T06:56:00,completed
83e22c41-5aa5-51e4-9161-7e9671ac4bba,419e04d5-554e-5f26-870c-490f24f89c94,cash_in,1950.75,PHP,2025-07-11T04:43:00,completed
d6714fc9-0f7f-5634-9ce3-20d943e6ce3a,d4110a62-ffba-5869-9a5f-f35bb8faebaf,pay_qr,231.86,PHP,2025-06-16T17:52:00,completed
baa90b41-024c-5562-b903-90b543d6f47f,af363d3c-860c-5698-a9cf-bb1c6f450514,cash_in,3233.81,PHP,2025-06-05T11:36:00,completed
2e278686-b576-5b42-9743-8cb6d96397b2,000280a2-bb34-5e35-b16e-a231e8b7be80,cash_out,995.25,PHP,2025-07-06T11:11:00,completed
a2d99d0e-a75e-5507-ab0b-589173c9a5be,1266d63c-a77a-50ae-95b3-aac6f8c10618,cash_in,4250.03,PHP,2025-05-18T01:53:00,completed
8c986d24-dcd4-5167-9e67-a9b884d01034,797fe38b-526e-5e9c-b5b7-0afbef0991b8,cash_in,2157.54,PHP,2025-05-30T06:13:00,reversed
abae0b19-9c90-5d81-aad0-22559f3ab0bb,8f419a04-5d26-5b30-8b18-7a3e176afd95,cash_in,2661.45,PHP,2025-05-28T06:30:00,completed
