id,outlet_id,product_id,status,activated_date
d9807fe1-9923-5ba9-b9d3-ce3b969b212a,64375d9c-4b5c-56d7-afec-88a80e128c44,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-06-12
293290fd-4229-5087-abe6-bfc9c23d0ec6,64375d9c-4b5c-56d7-afec-88a80e128c44,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-05-18
e09b2bad-786e-5d93-8233-db8b3b309fa3,64375d9c-4b5c-56d7-afec-88a80e128c44,4b343160-5928-5bdb-83ef-2c0f9faba1dd,inactive,2026-04-15
d1e6a12b-56c7-5280-b5b3-c49f5d4f1e17,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-04-06
a38a5276-a845-5f63-9367-ae570164dcb1,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,018fefc2-38fb-5f92-8391-2fe032547753,active,2025-10-16
7ce03fcc-beb2-5ac6-a5ef-5a61bd96ef95,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,a9db23aa-1685-5f58-8beb-3c1c13702b6a,pending,2026-08-19
289f852b-1b7f-57a6-8794-33c153d9c308,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,868b1dbf-370d-5142-be8c-5a80dfad818d,active,2025-12-05
dce7f9ab-25c4-55d0-b814-46eaf16ccb4e,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,4b343160-5928-5bdb-83ef-2c0f9faba1dd,active,2026-02-27
810f43e3-39e2-5685-af38-8babe4fe2bdb,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,f080ca1b-6cb2-5242-98ed-4612ac098b94,pending,2026-05-03
8688fa2c-25c7-5bb1-8c8b-08da244cbf47,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,fc407d89-26e4-55ce-a2dc-fdae931500f1,pending,2026-08-20
c5dd483a-8181-5ab8-97af-352007e4073c,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,69d2e248-598e-501c-a2eb-fb4fb8ccf487,active,2026-05-01
fb1cd297-bc95-5bc6-92a8-0da6620c2462,66d5a328-8eb1-5975-be4b-a35975328fcb,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,pending,2026-05-25
dcbd4bc0-abbc-5362-92b9-355b11a8d829,66d5a328-8eb1-5975-be4b-a35975328fcb,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-06-06
f7411bb4-c274-5246-8f66-4d83324d43fc,66d5a328-8eb1-5975-be4b-a35975328fcb,868b1dbf-370d-5142-be8c-5a80dfad818d,active,2025-10-04
8c28d12d-1b85-58bd-b777-07782d885fdf,66d5a328-8eb1-5975-be4b-a35975328fcb,fc407d89-26e4-55ce-a2dc-fdae931500f1,active,2026-03-05
1f7cb6e0-9605-5a3d-9914-415bce5d5afa,66d5a328-8eb1-5975-be4b-a35975328fcb,4b343160-5928-5bdb-83ef-2c0f9faba1dd,active,2025-09-23
f4271b4f-85c5-58a7-a06e-e93fd9c89eb1,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-01-14
5af87df6-b00d-5645-a40d-ed8ebd4c294f,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-03-25
52f93b5e-3434-5363-99ea-c0ea7f36ed80,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,0a1506ca-ede6-548b-91b8-0730277089b0,active,2026-07-09
9d4681b4-e749-5ee2-b76f-4f0a9411d75c,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,69d2e248-598e-501c-a2eb-fb4fb8ccf487,inactive,2025-10-26
fd937d85-6cbf-583b-8279-400f4d08f1ed,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,a9db23aa-1685-5f58-8beb-3c1c13702b6a,active,2026-01-16
fecf3206-a1c5-5ff2-9b39-2b23a74f058e,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,fc407d89-26e4-55ce-a2dc-fdae931500f1,active,2025-11-12
dd124fc9-40de-5bdf-8b50-5f12639678ac,89af9edf-f3db-5349-bcb3-f9c543399d2f,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2025-09-30
bfadf12c-7a1b-5889-a067-846785906b57,89af9edf-f3db-5349-bcb3-f9c543399d2f,018fefc2-38fb-5f92-8391-2fe032547753,active,2025-10-05
e4b38a79-91db-5f10-8f05-7c879b433c77,89af9edf-f3db-5349-bcb3-f9c543399d2f,f080ca1b-6cb2-5242-98ed-4612ac098b94,active,2025-12-30
617966d8-bfe6-5998-b6a0-944fc13a97d5,89af9edf-f3db-5349-bcb3-f9c543399d2f,69d2e248-598e-501c-a2eb-fb4fb8ccf487,active,2026-07-15
ee400384-2fc9-556a-9066-04af6a2722b8,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-05-16
10bf7a36-50e9-5a71-b257-0f386529730d,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-05-11
e32fc5ea-b1b7-5f29-a71a-7088289fc109,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,4b343160-5928-5bdb-83ef-2c0f9faba1dd,active,2026-01-04
5710dd34-459d-56ae-a5e9-dc8ad2501568,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,fc407d89-26e4-55ce-a2dc-fdae931500f1,active,2026-04-25
88e34c20-999b-5aca-9eba-56e74e146751,d8a14285-5274-5cc4-95ff-7c11b6346a04,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-03-06
6cc66a8a-c34b-5a8c-ad63-9868afa4889c,d8a14285-5274-5cc4-95ff-7c11b6346a04,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-06-10
c8408d27-1663-55e6-8212-50dbf43b94a9,d8a14285-5274-5cc4-95ff-7c11b6346a04,4b343160-5928-5bdb-83ef-2c0f9faba1dd,inactive,2026-08-22
a56ae21a-630e-5aaa-96ed-b847abbe406f,d8a14285-5274-5cc4-95ff-7c11b6346a04,9502494a-7b3f-5213-8df6-4e5e5e22101f,active,2025-10-23
c0c38516-8c8a-5db5-acb4-d56e0d387073,d8a14285-5274-5cc4-95ff-7c11b6346a04,f080ca1b-6cb2-5242-98ed-4612ac098b94,active,2026-07-25
8e6c5c44-fc4e-5a93-8fe3-d2ba6f2046b2,d8a14285-5274-5cc4-95ff-7c11b6346a04,69d2e248-598e-501c-a2eb-fb4fb8ccf487,active,2026-03-19
4d1b00ca-dd9a-52e1-a318-e220ddb42e7d,d8a14285-5274-5cc4-95ff-7c11b6346a04,fc407d89-26e4-55ce-a2dc-fdae931500f1,active,2026-07-06
52a938da-6bf5-539a-ace3-8fab6fe39de7,d8a14285-5274-5cc4-95ff-7c11b6346a04,a9db23aa-1685-5f58-8beb-3c1c13702b6a,active,2025-09-24
d7fa750a-a09e-5c19-a553-b0f5ca701ecb,c374b78a-8385-5dbd-ab1e-726563b1014c,0b4a6e3b-d5cd-5d10-87c4-ab6fda0aa831,active,2026-01-20
ec3d0701-8951-5ad2-851b-53900d0d9aea,c374b78a-8385-5dbd-ab1e-726563b1014c,018fefc2-38fb-5f92-8391-2fe032547753,active,2026-04-14
62536118-5f48-53f7-a30e-092fac2a1ca0,c374b78a-8385-5dbd-ab1e-726563b1014c,4b343160-5928-5bdb-83ef-2c0f9faba1dd,active,2026-08-21
e053a46f-a81e-5cf8-a10d-651fa8bcdf6d,c374b78a-8385-5dbd-ab1e-726563b1014c,0a1506ca-ede6-548b-91b8-0730277089b0,active,2026-04-16
