id,dsp_id,outlet_id,assigned_date,status
79b96acb-afd9-5d6b-a6a2-9067534a4735,c928179a-f72b-50f2-bd6c-8efebcd2d268,64375d9c-4b5c-56d7-afec-88a80e128c44,2025-10-13,active
ca3862c2-c378-5bcc-82a8-28d914200726,25c743f6-6b99-5904-8a4a-4b29b700d9e7,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,2025-12-06,active
793b316c-3830-5093-b255-db01fd0efa2f,15e1ebab-b0bf-514c-8405-61b9a3993057,66d5a328-8eb1-5975-be4b-a35975328fcb,2025-10-10,active
f6139f89-0daf-5a74-adce-d2a6ba9b6214,214dee86-b858-5e86-aad7-d05cc5d8a623,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,2025-11-15,active
ae0a105f-2180-5e77-a269-490cdbfa6a24,adf43fc2-e637-5500-8a6b-8a40e079d07c,89af9edf-f3db-5349-bcb3-f9c543399d2f,2026-06-29,active
a5c75854-6ec7-51ab-b1f8-a1f1e85d5196,ea60bf00-905e-5abc-b08e-4c17000dd149,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,2025-12-29,active
587fa944-f9f0-5020-8fde-dcfbd83a5715,8086f1f4-673d-5987-81b0-8f204dbfd2ab,d8a14285-5274-5cc4-95ff-7c11b6346a04,2026-03-16,active
9ff1f35a-2458-5a88-bf82-2efb974c19c9,1208ec90-8992-569c-9143-a14b6d5727e9,c374b78a-8385-5dbd-ab1e-726563b1014c,2026-07-29,active
02a586c1-3de4-56d0-8081-10f9fe34381c,492935f3-f9ee-5d56-b64a-6da8931cf13b,9cf0258b-b196-5323-8d6c-3eccbf473c3f,2026-07-22,active
bf682e15-d4af-5363-875a-db684ac14382,24c3eae6-21de-5fa7-ad75-775edd1167e0,b2ee80b3-73ea-5139-805e-52812d1d5c0b,2025-12-14,active
e1672e2c-234b-528a-a86e-a01a7c5f00c6,f81e0179-c82e-5d0d-82b4-c2bf0fde0a92,b9f302ee-4c36-582b-92c9-ed71368ecdc4,2026-06-26,active
3704a166-153f-5f6c-adc0-8d34ebf51144,7a052b5f-cf18-5b63-91b4-4c385d96d71f,43053a5a-68ac-562d-8179-906560683723,2026-05-23,active
ff403c14-7893-563e-a6f8-69d893bf3475,9cea72a7-c63b-5718-8f89-cff81ccad510,2845093a-3515-532c-90da-051c95e9baf8,2025-11-24,active
a1fef99b-0b36-5d28-989a-bae6937f2500,a0ba4c9a-ca4d-55e7-9662-8b384d306f9a,d59e6887-1c3d-5cb0-b4ad-0752bfdc39fc,2026-04-28,active
d63535dc-91fb-5510-b9f7-3bb0970c0b89,c529bf79-90d3-5602-9399-40738335c242,5cb5f68d-dbf0-5c90-9e6c-e13a3464fb8f,2025-12-31,active
0ee5e2c1-a919-5cce-a95c-b15cbfcaa848,48787cb4-04a7-5b80-8148-23b777165705,7f62d1a5-59cf-5ac5-b66e-24f5660b9686,2025-09-19,active
91f28900-f7a1-5022-a9d3-43f5fcf68dcd,dced9f60-36c3-51a3-a4cd-895dfd671dec,59e64bea-9720-5d74-82b3-275489371706,2026-08-01,active
38bd5fdf-7d2a-53c9-a758-b59cba6c37ac,7ff0bab0-c69b-54d0-86a2-99ea2da3e58c,0b27d62a-700a-5cb1-bb9d-2236759107cf,2026-07-26,active
